trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,0,-93.189169915819,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.996304278638842}",20,0,-87.09455025715232,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9961304980857502}",30,0,-65.38791876236951,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-66.75373420183627,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9957709841286342}",20,0,-86.29254798546613,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9955852521626654}",25,0,-77.3347983324602,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9953955378570153}",25,0,-80.11055926625838,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.995201841970541}",25,0,-79.69561917051392,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9950041652780257}",30,0,-195.0306185426998,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.994802508570176}",20,0,-205.68443976985483,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.9945968726536185}",35,0,-156.86435790004168,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9943872583508965}",25,0,-218.9794593423494,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
54,False,"{'a': 0.5, 'e': 0.9941736665004669}",25,0,-148.9902036404316,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9939560979566968}",35,0,-185.66973594974814,"{0: 24, 1: 1, 2: 5, 3: 2, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.9937345535898603}",20,0,-126.09286027116208,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
